lat,long,tbs-pasto,ur-pasto,tpo-pasto,tbs-sombra,ur-sombra,tpo-sombra,posicao,local,classe
-8.61973,-36.61312,18485,82225,113,18081,87919,16069,0,0,0
-8.61972,-36.61313,18461,82303,15349,18129,87859,16105,0,0,0
-8.61974,-36.61312,18461,82303,15349,18129,87859,16105,0,0,0
-8.61972,-36.61312,18485,82391,15388,18200,87662,16140,0,0,0
-8.6197,-36.61312,18485,82419,15392,18176,87345,16060,0,0,0
-8.61967,-36.61312,18485,82419,15392,18176,87345,16060,0,0,1
-8.61966,-36.61313,18366,82309,15257,17962,87366,15853,0,0,1
-8.61971,-36.61313,18295,82321,15189,17962,87652,15904,0,1,1
-8.61969,-36.61314,18295,82321,15189,17962,87652,15904,0,0,0
-8.61972,-36.61314,18319,82437,15232,18010,87640,15949,0,0,0
-8.61971,-36.61315,18295,82460,15213,17843,87743,15803,0,0,0
-8.61969,-36.61314,18295,82460,15213,17843,87743,15803,0,0,0
-8.6197,-36.61312,18176,82517,15106,17796,88040,15809,0,0,0
-8.61971,-36.61317,18200,82577,15140,17819,87903,15808,0,0,0
-8.61967,-36.61317,18200,82577,15140,17819,87903,15808,0,1,1
-8.61971,-36.61314,18152,82594,15096,17867,87772,15832,0,1,1
-8.61959,-36.61296,18105,82639,15057,17701,88159,15737,0,0,2
-8.61954,-36.61308,18105,82639,15057,17701,88159,15737,0,0,1
-8.61966,-36.61312,18057,82795,15037,17629,88614,15747,0,1,1
-8.61965,-36.61309,17915,82956,14924,17463,88949,15641,0,0,0
-8.61965,-36.61308,18105,82639,15057,17701,88159,15737,0,0,0
-8.61965,-36.61307,17819,83018,14841,17439,89318,15683,0,0,1
-8.61968,-36.61311,17891,83061,14919,17534,89528,15813,0,0,0
-8.61966,-36.61311,17891,83061,14919,17534,89528,15813,0,0,0
-8.61962,-36.61308,17962,83077,14992,17510,89569,15797,0,0,0
-8.61966,-36.61311,17962,83050,14987,17653,89744,15969,0,0,0
-8.61967,-36.61308,17962,83050,14987,17653,89744,15969,0,0,0
-8.61966,-36.6131,18033,83093,15064,17701,89826,16030,1,0,1
-8.61965,-36.61306,18129,83170,15171,17819,89832,16148,1,0,1
